id,lokalitet,hovedlokalitet,kommune,fylke,lat,lon,count,observers,radius,geometry,public,mine
2413529,"""Hokkstadjern""",,Porsgrunn,Telemark,59.160232,9.740945,0,0,10,,1,0
2056688,"""knatten"" Lille Ørnøy",,Porsanger,Finnmark,70.183576,25.166303,0,0,168,"POLYGON((25.167825 70.184502, 25.167825 70.183274, 25.165989 70.182652, 25.164848 70.182921, 25.164699 70.183526, 25.165752 70.18418, 25.166397 70.184483, 25.167825 70.184502))",1,0
588999,"""Kommunedel Borge""",Sellebakk,Fredrikstad,Østfold,59.229625,10.990591,0,0,1,,1,0
2797391,"""Skarveskjær""",Malmøya,Larvik,Vestfold,59.003012,10.110952,0,0,10,,1,0
702177,(1749) Almenningen - Nylenda,,Nordre Follo,Akershus,59.764613,10.88362,0,0,300,,1,0
941136,(1749) Bukkestitjernet,,Nordre Follo,Akershus,59.775513,10.875328,0,0,200,,1,0
2154029,(1749) Skeidarkollen,,Nordre Follo,Akershus,59.746921,10.927125,0,0,150,,1,0
388149,/Blesåstangen,"Austbø, Altra",Alstahaug,Nordland,65.917566,12.301143,0,0,0,,1,0
772549,1 km NØ for Fjellvatna,,Selbu,Trøndelag,63.150957,10.778148,0,0,200,,1,0
2518431,1008-tjern (Solhovda),,Hol,Buskerud,60.499417,8.236311,0,0,10,,1,0
2732083,1080-vannet,,Hol,Buskerud,60.722581,8.044207,0,0,10,,1,0
2853575,1093-tjern S,,Ål,Buskerud,60.721676,8.141306,0,0,10,,1,0
2853574,1093-tjern V,,Ål,Buskerud,60.723011,8.139015,0,0,10,,1,0
2853573,1093-tjern Ø,,Ål,Buskerud,60.722814,8.142761,0,0,10,,1,0
466170,1184 moh fjellvegg,"Dygråvatn, Njardarheim",Sirdal,Agder,59.08767,7.112753,0,0,250,,1,0
2858453,1189-tjernene (utenfor NP),,Hol,Buskerud,60.404264,7.988924,0,0,10,,1,0
2878475,1340-høgda,Steinbunuten,Eidfjord,Vestland,60.384439,7.633344,0,0,300,,1,0
436699,16-10 km vest for Marsteinen,,Øygarden,Vestland,60.154025,4.74624,0,0,2500,,1,0
476264,169,Skjevdalen,Røros,Trøndelag,62.506498,11.574586,0,0,0,,1,0
378893,1900-krysset,Bryne,Time,Rogaland,58.734005,5.67897,0,0,0,,1,0
355637,2-øringen,Blomsterdalen,Bergen,Vestland,60.281116,5.238867,0,0,0,,1,0
419440,2. dam,"Bjørndalen, Fredrikstad",Fredrikstad,Østfold,59.23047,10.94599,0,0,0,,1,0
393993,2.stampe,Baneheia,Kristiansand,Agder,58.15099,7.987478,0,0,100,,1,0
401252,216-fjell,,Tana,Finnmark,70.437398,27.740901,0,0,0,,1,0
2797779,283 høyde,Kløvervannan,Lebesby,Finnmark,70.836922,27.716647,0,0,200,,1,0
3090028,292 høyde nord for Bjørnvikvannan,,Lebesby,Finnmark,71.042965,27.621982,0,0,500,,1,0
2797372,295 høyde vest for Søndre Aslakvatn,Aslakvatna,Lebesby,Finnmark,70.873321,27.692419,0,0,400,,1,0
3030257,299 høyde nordøst for Sverdvann,,Gamvik,Finnmark,70.989187,27.694925,0,0,400,,1,0
1599524,3,,Flakstad,Nordland,68.10869,13.175213,0,0,1494,"POLYGON((13.189662 68.102238, 13.191775 68.113237, 13.178391 68.118357, 13.165887 68.116486, 13.162101 68.11432, 13.157258 68.103716, 13.159195 68.100892, 13.169057 68.100563, 13.171435 68.099676, 13.174693 68.100465, 13.180416 68.09902, 13.184115 68.101483, 13.189662 68.102238))",1,0
376686,3. Stampe,Baneheia,Kristiansand,Agder,58.153081,7.986894,0,0,200,,1,0
436698,30-20 km vest for Marsteinen,,Øygarden,Vestland,60.147962,4.594658,0,0,2000,,1,0
461669,"302 brua, Dåfjordelva",,Karlsøy,Troms,69.969657,19.408281,0,0,0,,1,0
461670,"302, Middagselva",,Karlsøy,Troms,69.960283,19.371891,0,0,0,,1,0
3090716,309 høyde nord for Storvann,Storvann,Gamvik,Finnmark,70.968699,27.691314,0,0,300,,1,0
2801592,316 høyde nordøst for Oi Nilsavik-dalen,,Lebesby,Finnmark,70.795838,27.407051,0,0,500,,1,0
1599526,5,,Flakstad,Nordland,68.099594,13.232139,0,0,1089,"POLYGON((13.217505 68.095209, 13.218562 68.093994, 13.226487 68.095176, 13.230097 68.095899, 13.230537 68.093928, 13.235909 68.093567, 13.239255 68.094717, 13.242777 68.098428, 13.239783 68.100202, 13.233707 68.101647, 13.234236 68.105062, 13.231682 68.10562, 13.217505 68.095209))",1,0
428250,5. Dammen,Eik,Tønsberg,Vestfold,59.290827,10.413091,0,0,100,,1,0
1464211,6506/5-1 Nidhogg,,Norskekysten hav S,Norskekysten hav S,65.522821,6.607899,0,0,1500,,1,0
379616,800 m SSO Hessengåsen,,Sør-Varanger,Finnmark,69.45925,29.876745,0,0,0,,1,0
3347114,"829-tjern (kunstig utvidet),",,Gol,Buskerud,60.804535,9.015807,0,0,10,,1,0
3349154,855-vann,,Gol,Buskerud,60.795884,9.094885,0,0,10,,1,0
364228,"900 moh, vann øst for Blåknuten",,Kvinesdal,Agder,58.699557,7.140034,0,0,0,,1,0
364227,"901 moh, vann øst for Blåknuten",,Kvinesdal,Agder,58.703407,7.149907,0,0,0,,1,0
2824090,903-toppen,,Vinje,Telemark,59.680071,8.156299,0,0,10,,1,0
392136,921-vannet,Møsvasstangen LVO,Vinje,Telemark,59.801545,8.23244,0,0,200,,1,0
1322703,"921-vannet, myrområde nord",Møsvasstangen LVO,Vinje,Telemark,59.803614,8.232179,0,0,250,,1,0
2511807,930-pytten,Skjærpingflæin,Ål,Buskerud,60.706999,8.715293,0,0,10,,1,0
2511806,932-vann,Skjærpingflæin,Ål,Buskerud,60.708674,8.709382,0,0,10,,1,0
2072512,933-tjønn SV av Steinartjønn,,Tinn,Telemark,59.842525,8.258374,0,0,10,,1,0
2511808,938-pytten,Skjærpingflæin,Ål,Buskerud,60.705127,8.719884,0,0,10,,1,0
2517780,986-vann (Steinbotn),,Hol,Buskerud,60.504571,7.976393,0,0,10,,1,0
473465,?dalen,Kråkevåg,Solund,Vestland,61.095064,4.960713,0,0,100,,1,0
466879,A-verkets kai,Lundevågen,Farsund,Agder,58.082418,6.800247,0,0,200,,1,0
436262,Aahkabieljien,,Lierne,Trøndelag,64.366325,14.081424,0,0,0,,1,0
352851,Aalbu,,Oppdal,Trøndelag,62.605518,9.502954,0,0,0,,1,0
2805651,"Aalbu, åker ved Sunndalsvegen",Aalbu,Oppdal,Trøndelag,62.611395,9.493019,0,0,252,"POLYGON((9.489164 62.611684, 9.49135 62.612605, 9.495068 62.611551, 9.497804 62.611118, 9.497647 62.610395, 9.496966 62.610383, 9.495657 62.610184, 9.493366 62.610594, 9.489203 62.611581, 9.489164 62.611684))",1,0
3281142,Aalle-dammene (nedre og øvre),Sannerholt,Nome,Telemark,59.296441,9.239029,0,0,10,,1,0
471184,Aalljordene,Ulefoss hovedgård,Nome,Telemark,59.283784,9.245623,0,0,0,,1,0
383467,Aangholmen,Kvaløysæter,Flatanger,Trøndelag,64.464088,10.678507,0,0,50,,1,0
433639,Aaponpanta,,Porsanger,Finnmark,70.070281,25.035795,0,0,200,,1,0
401807,Aardal,Åna,Hå,Rogaland,58.64577,5.715585,0,0,0,,1,0
463731,Aarnes,Meskefjorden,Nesseby,Finnmark,70.177957,28.63892,0,0,300,,1,0
358985,Aase,,Ullensvang,Vestland,60.17155,6.541226,0,0,0,,1,0
351551,Aasvik,Jomfruland,Kragerø,Telemark,58.859086,9.576625,0,0,0,,1,0
381973,Aasvik brygge,Jomfruland,Kragerø,Telemark,58.858709,9.57437,0,0,0,,1,0
424406,Aasvikjordene,Jomfruland,Kragerø,Telemark,58.856228,9.578933,0,0,0,,1,0
717653,Abalholmen,Stusøy,Lindesnes,Agder,58.006542,7.491554,0,0,106,"POLYGON((7.490053 58.007152, 7.490998 58.007265, 7.492242 58.006833, 7.4928 58.00614, 7.49192 58.00564, 7.490053 58.007152))",1,0
386900,Abbedisso,,Askøy,Vestland,60.539037,5.018465,0,0,0,,1,0
399442,Abbedisso vest,Abbedisso,Askøy,Vestland,60.538251,5.013767,0,0,0,,1,0
396804,Abbedtjørna,Endelausmarka,Bjørnafjorden,Vestland,60.214747,5.409924,0,0,50,,1,0
384121,Abbor-Akksjøen,,Lillehammer,Innlandet,61.171067,10.568518,0,0,0,,1,0
407196,Abboren,"Blixøya, Vansjø",Våler (Øs),Østfold,59.403063,10.797875,0,0,0,,1,0
381315,Abbortjenn,,Kongsvinger,Innlandet,60.235669,12.428443,0,0,0,,1,0
904663,Abbortjenn,,Aurskog-Høland,Akershus,59.791879,11.669394,0,0,150,,1,0
352209,"Abbortjenn, Aurskog-Høland",,Aurskog-Høland,Akershus,59.94747,11.551607,0,0,200,,1,0
391788,Abbortjennet,Agsjøen,Elverum,Innlandet,60.864345,11.842724,0,0,400,,1,0
388231,Abbortjern,,Sør-Varanger,Finnmark,69.135734,29.171684,0,0,0,,1,0
419680,Abbortjern,"Teigen, Idd",Halden,Østfold,58.976734,11.617965,0,0,0,,1,0
420192,Abbortjern,,Halden,Østfold,59.135189,11.565414,0,0,0,,1,0
1504922,Abbortjern - Kringletjern,Åspartiet Lilloseter - Sørskogen - Sinober - Granberget,Nittedal,Akershus,60.017589,10.842387,0,0,250,,1,0
369409,Abbortjerna,,Sør-Varanger,Finnmark,69.141274,28.985894,0,0,0,,1,0
356514,Abbortjernet,,Bærum,Akershus,59.992252,10.563173,0,0,0,,1,0
372840,Abbortjernet,,Lillehammer,Innlandet,61.134682,10.517691,0,0,500,,1,0
396471,Abbortjernet,Varaldskogen,Kongsvinger,Innlandet,60.124855,12.498728,0,0,0,,1,0
447872,Abbortjernet S,Abbortjernet,Bærum,Akershus,59.988698,10.564116,0,0,100,,1,0
413940,Abbortjernet V,Abbortjernet,Bærum,Akershus,59.992148,10.558483,0,0,0,,1,0
400346,Abbortjernet Ø,Abbortjernet,Oslo,Oslo,59.993779,10.564439,0,0,0,,1,0
365465,Abbortjernhøyda,Ankerfjella,Halden,Østfold,59.137751,11.57172,0,0,0,,1,0
420164,"Abbortjernåsen, Vestfjella",,Aremark,Østfold,59.210469,11.62323,0,0,0,,1,0
359318,Abbortjønna,,Trysil,Innlandet,61.155461,12.62716,0,0,0,,1,0
435051,Abbortjørna,Gaukstad,Sør-Varanger,Finnmark,69.167225,29.175107,0,0,0,,1,0
392681,"Abborvatn, Sponga",,Bardu,Troms,68.881983,18.387678,0,0,0,,1,0
356030,"ABC Rensepost, Djupdalen",Grandefjæra naturreservat,Ørland,Trøndelag,63.70374,9.57702,0,0,0,,1,0
354481,Abelsborg,,Nesseby,Finnmark,70.164238,28.786944,0,0,750,,1,0
372048,Abelshaugen,Kvilhaug,Karmøy,Rogaland,59.213412,5.184249,0,0,0,,1,0
3149928,Abelsnes,,Flekkefjord,Agder,58.244426,6.651881,0,0,1455,"POLYGON((6.654473 58.232565, 6.65787 58.233142, 6.662021 58.233255, 6.662284 58.235588, 6.662541 58.236022, 6.663204 58.236193, 6.664056 58.236221, 6.666502 58.236848, 6.66709 58.238467, 6.668637 58.240139, 6.669218 58.240117, 6.667112 58.246177, 6.661662 58.251043, 6.659293 58.25489, 6.657846 58.256279, 6.65364 58.25474, 6.651645 58.25447, 6.649518 58.253778, 6.648254 58.253768, 6.645535 58.253154, 6.644865 58.251947, 6.643036 58.250961, 6.642132 58.250275, 6.643052 58.249192, 6.640854 58.247562, 6.635605 58.244142, 6.634408 58.243429, 6.632062 58.242114, 6.631712 58.241949, 6.631284 58.241878, 6.628775 58.24102, 6.634818 58.239152, 6.637835 58.237191, 6.640268 58.233572, 6.648247 58.232678, 6.654473 58.232565))",1,0
3149940,Abelsnes havnebasseng,Abelsnes,Flekkefjord,Agder,58.23565,6.657477,0,0,300,,1,0
