norsk,latin,status,count
Stokkand,Anas platyrhynchos,,724617
Kråke,Corvus cornix,,666580
Kjøttmeis,Parus major,,634865
Gråmåke,Larus argentatus,VU,585951
Svarttrost,Turdus merula,,551314
Kvinand,Bucephala clangula,,543456
Fiskemåke,Larus canus,VU,535430
Blåmeis,Cyanistes caeruleus,,524466
Skjære,Pica pica,,473173
Bokfink,Fringilla coelebs,,461142
Grønnfink,Chloris chloris,VU,445537
Linerle,Motacilla alba,,444248
Ærfugl,Somateria mollissima,VU,432356
Storskarv,Phalacrocorax carbo,NT,423326
Rødstrupe,Erithacus rubecula,,420327
Gråtrost,Turdus pilaris,,410640
Svartbak,Larus marinus,,405641
Ringdue,Columba palumbus,,392468
Stær,Sturnus vulgaris,NT,386917
Siland,Mergus serrator,,380258
Tjeld,Haematopus ostralegus,NT,374319
Grågås,Anser anser,,370848
Gråhegre,Ardea cinerea,,349573
Gulspurv,Emberiza citrinella,VU,318962
Knoppsvane,Cygnus olor,,317116
Heipiplerke,Anthus pratensis,,301599
Låvesvale,Hirundo rustica,,298612
Løvsanger,Phylloscopus trochilus,,297862
Grønnsisik,Spinus spinus,,293009
Gråspurv,Passer domesticus,NT,291165
Krikkand,Anas crecca,,283694
Rødvingetrost,Turdus iliacus,,277515
Hettemåke,Chroicocephalus ridibundus,CR,269060
Spettmeis,Sitta europaea,,266887
Vipe,Vanellus vanellus,CR,266810
Gjerdesmett,Troglodytes troglodytes,,259441
Gransanger,Phylloscopus collybita,,259516
Dompap,Pyrrhula pyrrhula,,255822
Toppand,Aythya fuligula,,251058
Flaggspett,Dendrocopos major,,250378
Sangsvane,Cygnus cygnus,,246422
Pilfink,Passer montanus,,237513
Ravn,Corvus corax,,233044
Gråsisik,Acanthis flammea,,230330
Storspove,Numenius arquata,EN,218692
Rødstilk,Tringa totanus,NT,210755
Brunnakke,Mareca penelope,,208257
Måltrost,Turdus philomelos,,208356
Sildemåke,Larus fuscus,,205314
Laksand,Mergus merganser,,199292
Sivspurv,Emberiza schoeniclus,,199577
Sanglerke,Alauda arvensis,NT,192476
Sandlo,Charadrius hiaticula,,190140
Munk,Sylvia atricapilla,,190086
Strandsnipe,Actitis hypoleucos,,188024
