latS,lonW,latin,count
57,2,Larus marinus,236
57,2,Fulmarus glacialis,195
57,2,Morus bassanus,142
57,2,Rissa tridactyla,124
57,2,Larus canus,100
57,2,Larus argentatus,74
57,2,Larus fuscus,47
57,2,Coloeus monedula,35
57,2,Sturnus vulgaris,33
57,2,Falco tinnunculus,28
57,2,Chroicocephalus ridibundus,24
57,2,Turdus merula,23
57,2,Accipiter nisus,22
57,2,Corvus cornix,22
57,2,Uria aalge,20
57,2,Asio flammeus,19
57,2,Asio otus,19
57,2,Turdus pilaris,18
57,2,Stercorarius skua,16
57,2,Erithacus rubecula,16
57,2,Hirundo rustica,16
57,2,Oenanthe oenanthe,15
57,2,Sylvia atricapilla,13
57,2,Phylloscopus trochilus,11
57,2,Anthus pratensis,10
57,2,Turdus iliacus,10
57,2,Ficedula hypoleuca,10
57,2,Sylvia borin,10
57,2,Columba palumbus,10
57,2,Turdus philomelos,9
57,2,Scolopax rusticola,8
57,2,Phylloscopus collybita,8
57,2,Phalacrocorax carbo,7
57,2,Columba livia,7
57,2,Phoenicurus phoenicurus,7
57,2,Corvus corone,7
57,2,Pandion haliaetus,6
57,2,Delichon urbicum,6
57,2,Sylvia curruca,6
57,2,Troglodytes troglodytes,6
57,2,Falco peregrinus,5
57,2,Larus hyperboreus,5
57,2,Larus glaucoides,5
57,2,Haematopus ostralegus,5
57,2,Motacilla alba,5
57,6,Larus marinus,3554
57,6,Somateria mollissima,2952
57,6,Larus argentatus,2337
57,6,Phalacrocorax carbo,1781
57,6,Haematopus ostralegus,1381
57,6,Phalacrocorax aristotelis,1309
57,6,Morus bassanus,1249
57,6,Larus canus,1206
57,6,Anser anser,982
57,6,Larus fuscus,932
57,6,Melanitta nigra,919
57,6,Corvus cornix,896
57,6,Anthus petrosus,859
57,6,Parus major,827
57,6,Mergus serrator,814
57,6,Turdus merula,801
57,6,Anthus pratensis,690
57,6,Cyanistes caeruleus,655
57,6,Erithacus rubecula,641
57,6,Bucephala clangula,629
57,6,Motacilla alba,608
57,6,Oenanthe oenanthe,567
57,6,Rissa tridactyla,520
57,6,Acanthis flammea,519
57,6,Fringilla coelebs,501
57,6,Phylloscopus trochilus,497
57,6,Hirundo rustica,488
57,6,Troglodytes troglodytes,475
57,6,Gavia stellata,439
57,6,Uria aalge,419
57,6,Pica pica,419
57,6,Anas platyrhynchos,389
57,6,Ardea cinerea,380
57,6,Haliaeetus albicilla,377
57,6,Turdus philomelos,376
57,6,Chloris chloris,369
57,6,Spinus spinus,358
57,6,Falco peregrinus,351
