latin,norsk,svensk,status,count
Anas platyrhynchos,stokkand,gräsand,,724617
Parus major,kjøttmeis,talgoxe,,634865
Larus argentatus,gråmåke,gråtrut,VU,585951
Turdus merula,svarttrost,koltrast,,551314
Bucephala clangula,kvinand,knipa,,543456
Larus canus,fiskemåke,fiskmås,VU,535430
Cyanistes caeruleus,blåmeis,blåmes,,524466
Pica pica,skjære,skata,,473173
Fringilla coelebs,bokfink,bofink,,461142
Chloris chloris,grønnfink,grönfink,VU,445537
Motacilla alba,linerle,sädesärla,,444248
Somateria mollissima,ærfugl,ejder,VU,432356
Phalacrocorax carbo,storskarv,storskarv,NT,423326
Erithacus rubecula,rødstrupe,rödhake,,420327
Turdus pilaris,gråtrost,björktrast,,410640
Larus marinus,svartbak,havstrut,,405641
Columba palumbus,ringdue,ringduva,,392468
Sturnus vulgaris,stær,stare,NT,386917
Mergus serrator,siland,småskrake,,380258
Haematopus ostralegus,tjeld,strandskata,NT,374319
Anser anser,grågås,grågås,,370848
Ardea cinerea,gråhegre,gråhäger,,349573
Emberiza citrinella,gulspurv,gulsparv,VU,318962
Cygnus olor,knoppsvane,knölsvan,,317116
Anthus pratensis,heipiplerke,ängspiplärka,,301599
Hirundo rustica,låvesvale,ladusvala,,298612
Phylloscopus trochilus,løvsanger,lövsångare,,297862
Spinus spinus,grønnsisik,grönsiska,,293009
Passer domesticus,gråspurv,gråsparv,NT,291165
Anas crecca,krikkand,kricka,,283694
Turdus iliacus,rødvingetrost,rödvingetrast,,277515
Chroicocephalus ridibundus,hettemåke,skrattmås,CR,269060
Sitta europaea,spettmeis,nötväcka,,266887
Vanellus vanellus,vipe,tofsvipa,CR,266810
Troglodytes troglodytes,gjerdesmett,gärdsmyg,,259441
Phylloscopus collybita,gransanger,gransångare,,259516
Pyrrhula pyrrhula,dompap,domherre,,255822
Aythya fuligula,toppand,vigg,,251058
Dendrocopos major,flaggspett,större hackspett,,250378
Cygnus cygnus,sangsvane,sångsvan,,246422
Passer montanus,pilfink,pilfink,,237513
Corvus corax,ravn,korp,,233044
Acanthis flammea,gråsisik,gråsiska,,230330
Numenius arquata,storspove,storspov,EN,218692
Tringa totanus,rødstilk,rödbena,NT,210755
Mareca penelope,brunnakke,bläsand,,208257
Turdus philomelos,måltrost,taltrast,,208356
Larus fuscus,sildemåke,silltrut,,205314
Mergus merganser,laksand,storskrake,,199292
Emberiza schoeniclus,sivspurv,sävsparv,,199577
Alauda arvensis,sanglerke,sånglärka,NT,192476
Charadrius hiaticula,sandlo,större strandpipare,,190140
Sylvia atricapilla,munk,svarthätta,,190086
Actitis hypoleucos,strandsnipe,drillsnäppa,,188024
Fringilla montifringilla,bjørkefink,bergfink,,187352
Oenanthe oenanthe,steinskvett,stenskvätta,,180374
Tadorna tadorna,gravand,gravand,,174782
Accipiter nisus,spurvehauk,sparvhök,,173584
Coloeus monedula,kaie,kaja,,172389
Poecile montanus,granmeis,talltita,VU,170339
Haliaeetus albicilla,havørn,havsörn,,168478
Gallinago gallinago,enkeltbekkasin,enkelbeckasin,,163995
Carduelis carduelis,stillits,steglits,,163117
Periparus ater,svartmeis,svartmes,,160316
