latin,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
Anas platyrhynchos,66602,51688,82846,116439,100778,50569,34634,41334,44265,51923,43482,40057
Corvus cornix,71720,52256,75074,83519,72865,42957,35345,40438,48549,58101,43873,41883
Parus major,72197,53790,72278,80094,64745,33633,25898,29926,43902,65440,48081,44881
Larus argentatus,67546,49381,67376,66038,59039,36448,34309,39628,41869,47414,37925,38978
Turdus merula,48598,28166,60309,89203,81663,46622,28938,21889,30327,55195,29935,30469
Bucephala clangula,63971,51487,77167,90341,59217,24507,17691,19212,24931,35938,38989,40005
Larus canus,18365,14320,33420,104351,113250,75123,63731,41818,25580,21864,13030,10578
Cyanistes caeruleus,64982,46535,59534,62369,46521,20829,17782,23923,36376,58455,45484,41676
Pica pica,59332,39277,49894,53092,43859,27431,23031,26467,33819,45150,36077,35744
Fringilla coelebs,16638,9390,41176,113106,92635,48560,22645,25491,36951,30182,12615,11753
Chloris chloris,41114,35577,58586,63434,52893,27364,23587,23521,26796,37642,28838,26184
Motacilla alba,753,461,9763,100300,96019,55404,50146,58345,52572,14368,4564,1553
Somateria mollissima,40608,34939,47392,49035,54849,39419,33772,27252,28467,31228,24112,21283
Phalacrocorax carbo,48360,35880,43790,40881,32857,17127,20968,34256,42912,43642,32522,30131
Erithacus rubecula,29793,15128,27154,89143,56519,28329,21468,28344,36544,41984,25965,19956
Turdus pilaris,32138,16621,18213,59430,68294,43364,25735,18288,26540,47754,30421,23842
Larus marinus,32953,29605,47487,49346,50951,34806,31940,31149,29516,30149,19798,17941
Columba palumbus,14404,13760,49707,78588,64195,32213,27049,34333,35661,26194,8688,7676
Sturnus vulgaris,14920,13857,53806,72855,60793,31748,22022,26622,30223,33300,16189,10582
Mergus serrator,37544,32707,42346,50728,57736,28502,22123,19513,21447,24450,22012,21150
Haematopus ostralegus,2519,4612,62428,79670,77981,48630,42320,29602,14497,7225,3043,1792
Anser anser,7849,15102,59043,80513,68702,25357,24549,34626,26325,17903,6519,4360
Ardea cinerea,28155,19464,29509,42209,40410,21274,25787,34719,33967,31570,23076,19433
Emberiza citrinella,31015,20771,37352,49163,45858,24904,17281,12716,17996,25468,17980,18458
Cygnus olor,31009,24900,38464,44350,38661,20608,16186,17556,20866,23908,21016,19592
Anthus pratensis,4274,2015,8613,49129,54371,31923,26945,30934,51062,30126,8246,3961
Hirundo rustica,2,1,62,20389,86653,45022,42252,53439,39516,10746,524,6
Phylloscopus trochilus,0,0,6,18820,116808,65486,36216,40467,18101,1910,44,4
Spinus spinus,19387,16883,23668,39351,45553,30226,22486,18171,29471,24999,11646,11168
Passer domesticus,31538,20672,26407,32693,36960,25000,21058,19374,18975,23202,17614,17672
Anas crecca,6562,4670,17315,68921,63940,25279,15689,23922,25586,19320,7975,4515
Turdus iliacus,7548,3108,7726,58855,59899,36998,14397,8260,18371,43637,12889,5827
Chroicocephalus ridibundus,7698,5574,29737,59403,52394,27668,24864,20658,15283,14367,6966,4448
Sitta europaea,32068,21458,29327,33188,19065,11114,11947,17273,21730,27130,22114,20473
Vanellus vanellus,1671,4511,47911,73027,62907,27528,16161,13543,8418,6232,3448,1453
Troglodytes troglodytes,23149,11480,18182,30569,24355,13812,11666,9499,23321,43299,30267,19842
Phylloscopus collybita,122,22,2511,65320,69727,33190,18561,12822,32860,20485,3399,497
Pyrrhula pyrrhula,42722,30790,32967,26351,18810,8857,5979,4994,7464,23873,25172,27843
Aythya fuligula,21141,14546,19723,41073,51484,22059,14869,10763,11822,16047,14701,12830
Dendrocopos major,28169,19947,27707,30173,22667,13841,9846,13547,20050,26665,19942,17824
Cygnus cygnus,33523,26293,43119,38028,20876,10854,4228,3346,6112,12645,23992,23406
Passer montanus,27162,16710,22456,25194,24884,14262,13207,15466,17011,25003,19141,17017
Corvus corax,21603,17219,25603,30436,24554,14467,13966,16428,21807,21659,13149,12153
Acanthis flammea,21515,16055,14778,20593,32430,21849,19724,15278,17959,23904,13877,12368
Numenius arquata,4479,4049,12804,62609,42460,24660,18147,23537,12982,6620,3684,2661
Tringa totanus,2344,2090,2519,18152,68798,37229,31244,32413,9709,3116,1755,1386
Mareca penelope,9433,7240,12562,33667,38688,16388,8587,10615,24492,26554,12870,7161
Turdus philomelos,731,326,7641,63844,51383,28032,11786,7607,14300,19415,2633,658
Larus fuscus,216,244,12828,47225,51327,27053,24047,25592,12765,3419,451,147
Mergus merganser,21786,17166,25967,41229,30401,12384,6117,6811,7266,8256,9641,12268
Emberiza schoeniclus,930,542,8156,34989,53217,27809,15340,15107,24664,16011,2055,757
Alauda arvensis,1902,5848,35570,41077,35694,17511,11540,8002,13287,15878,4529,1638
Charadrius hiaticula,185,1338,15440,22740,36151,24484,23455,37378,24249,4305,318,97
Sylvia atricapilla,2527,1391,1219,12810,64679,33632,17292,13548,18404,17490,4873,2221
Actitis hypoleucos,51,10,10,6694,71080,30495,35282,34156,9355,728,105,58
Fringilla montifringilla,15794,8731,8283,21705,21824,14922,5953,7215,25112,36260,11123,10430
Oenanthe oenanthe,11,0,874,26189,52433,24351,22311,22028,22134,8894,1123,26
Tadorna tadorna,752,4707,27469,40321,40205,22772,16257,11996,5964,2904,1077,358
Accipiter nisus,15223,11649,12813,17368,9713,3331,4602,21479,30801,24237,12921,9447
Coloeus monedula,21310,14389,21604,22824,18776,8611,4617,6430,10666,18958,13044,11160
Poecile montanus,20287,14929,16911,15828,9992,7305,8622,10803,16140,21359,14932,13231
Haliaeetus albicilla,22265,17675,18618,18517,14360,8589,7147,9778,13618,14136,11139,12636
Gallinago gallinago,3818,1488,3842,27782,32343,17673,8921,18136,20060,19552,7125,3255
Carduelis carduelis,12330,8638,16533,22348,19809,9242,9319,11830,13903,18103,12148,8914
Periparus ater,22965,16734,19180,17650,9805,4494,4109,6663,12713,17904,14022,14077
Regulus regulus,10562,5616,10804,17579,13494,6969,4977,8451,23851,36078,13117,8361
Branta canadensis,6552,5625,23640,33776,24634,11012,8580,11980,11364,9246,7372,5903
Melanitta fusca,21227,16995,18806,15214,15816,6616,5283,5497,7076,14655,14896,12611
Melanitta nigra,16222,11321,11945,13286,20486,8985,5828,4492,6164,18678,20884,12245
Buteo buteo,10291,7594,17508,23950,14595,7714,7518,15094,21383,11633,5839,6347
Calidris alpina,1095,978,2804,2188,21893,12771,16597,35708,29608,11583,1876,716
Prunella modularis,955,464,3633,44610,34760,14231,5159,6908,16755,7278,1341,803
Garrulus glandarius,14940,8563,10463,11111,8672,4190,3713,5886,18503,24815,14815,10496
Grus grus,95,132,8365,42259,37079,14144,8917,11967,9181,851,171,89
Clangula hyemalis,18412,16008,18135,14923,11224,7439,3518,1749,2245,11454,13959,10635
Linaria cannabina,74,80,4488,26795,28624,12528,12997,17456,16966,8505,779,93
Anthus petrosus,9711,6868,15714,14910,10769,6552,6465,8753,14181,17135,10962,7020
