latin,norsk
Anser,ub. Anser-gås
Branta,ub. Branta-gås
Melanitta deglandi/stejnegeri,ub. amerika-/sibirsjøorre
Anthus japonicus/rubescens,ub. amur-/kanadapiplerke
Lymnocryptes/Gallinago,ub. bekkasin
Limnodromus,ub. bekkasinsnipe
Merops,ub. bieter
Phylloscopus humei/inornatus,ub. blekbryn-/gulbrynsanger
Fringilla,ub. bok-/bjørkefink
Glareola,ub. brakksvale
Cecropis rufula/daurica,ub. bro-/tempelsvale
Aix,ub. brude-/mandarinand
Cygnus columbianus/cygnus,ub. dverg-/sangsvane
Zapornia pusilla/parva,ub. dverg-/sumprikse
Emberiza pusilla/rustica,ub. dverg-/vierspurv
Podiceps,ub. dykker
Phylloscopus bonelli/orientalis,ub. eike-/furusanger
Motacilla,ub. erle
Falco,ub. falk
Mergus,ub. fiskand
Phoenicopterus,ub. flamingo
Fregata sp.,ub. fregattfugl
Regulus,ub. fuglekonge
Milvus,ub. glente/svartglente
Larus argentatus/fuscus,ub. grå-/sildemåke
Picus,ub. grønn-/gråspett
Emberiza citrinella/leucocephalos,ub. gul-/hvithodespurv
Motacilla flava/citreola,ub. gul-/sitronerle
Motacilla flava/tschutschensis,ub. gul-/østgulerle
Phylloscopus inornatus/proregulus,ub. gulbryn-/fuglekongesanger
Accipiter,ub. hauk
Sterna,ub. havterne
Haliaeetus,ub. havørn
Asio,ub. horn-/jordugle
Egretta,ub. hvit hegre
Gavia immer/adamsii,ub. is-/gulnebblom
Lanius isabellinus/phoenicuroides,ub. isabella-/rødhalevarsler
Falco rusticolus/peregrinus,ub. jakt-/vandrefalk
Prunella,ub. jernspurv
Circus,ub. kjerrhauk
Thalasseus maximus/albididorsalis,ub. konge-/høvdingterne
Loxia,ub. korsnebb
Rissa tridactyla/Hydrocoloeus minutus,ub. krykkje/dvergmåke
Rissa tridactyla/Xema sabini,ub. krykkje/sabinemåke
Bucephala,ub. kvinand
Limosa lapponica/Calidris canutus,ub. lappspove/polarsnipe
Calonectris/Ardenna/Puffinus,ub. lire
Uria aalge/Alca torda,ub. lomvi/alke
Pterodroma madeira/feae/deserta,ub. madeira-/kappverde-/desertaspetrell
Sterna hirundo/paradisaea,ub. makrell-/rødnebbterne
Charadrius mongolus/leschenaultii,ub. mongol-/ørkenlo
Circus cyaneus/macrourus,ub. myr-/steppehauk
Luscinia,ub. nattergal
Caprimulgus,ub. nattravn
Garrulus glandarius/Nucifraga caryocatactes,ub. nøtteskrike/nøttekråke
Pelecanus,ub. pelikan
Anthus,ub. piplerke
Larus hyperboreus/glaucoides,ub. polar-/grønlandsmåke
Stercorarius pomarinus/parasiticus,ub. polar-/tyvjo
Uria,ub. polarlomvi/lomvi
Calonectris diomedea/borealis,ub. poseidon-/portugiserlire
Oenanthe hispanica/melanoleuca,ub. puner-/tyrkersteinskvett
Saxicola maurus/stejnegeri,ub. russe-/taigasvartstrupe
Lagopus,ub. rype
Curruca iberiae/subalpina/cantillans,ub. rødbryst-/rosen-/rødsmekkesanger
Curruca iberiae/cantillans,ub. rødbryst-/rødsmekkesanger
Turdus naumanni/eunomus,ub. rødflekk-/svartflekktrost
Phoenicurus,ub. rødstjert
Alaudala cheleensis/rufescens/heinei,ub. salt-/flekk-/turkestandverglerke
Pluvialis fulva/dominica,ub. sibir-/kanadalo
Melanitta fusca/nigra,ub. sjøorre/svartand
Columba oenas/palumbus,ub. skog-/ringdue
Strix uralensis/nebulosa,ub. slag-/lappugle
Gavia stellata/arctica,ub. små-/storlom
Numenius,ub. små-/storspove
Circus macrourus/pygargus,ub. steppe-/enghauk
Stercorarius skua/pomarinus,ub. stor-/polarjo
Ciconia,ub. stork
Actitis,ub. strand-/flekksnipe
Cygnus,ub. svane
Emberiza melanocephala/bruniceps,ub. svart-/brunhodespurv
Larus marinus/fuscus,ub. svartbak/sildemåke
Limosa,ub. svarthale-/lappspove
Ficedula hypoleuca/albicollis,ub. svarthvit/halsbåndfluesnapper
Turdus atrogularis/ruficollis,ub. svartstrupe-/rødstrupetrost
Phalaropus,ub. svømmesnipe
Anser fabalis/serrirostris,ub. taiga-/tundrasædgås
Anthus richardi/godlewski,ub. tartar-/mongolpiplerke
Iduna caligata/rama,ub. tartar-/ramasanger
Calidris temminckii/minuta,ub. temminck-/dvergsnipe
Aythya fuligula/marila,ub. topp-/bergand
Anthus trivialis/hodgsoni,ub. tre-/sibirpiplerke
Certhia,ub. trekryper
Anser albifrons/erythropus,ub. tundra-/dverggås
Streptopelia turtur/decaocto,ub. tyrker-/turteldue
Stercorarius parasiticus/longicaudus,ub. tyv-/fjelljo
Apus apus/pallidus,ub. tårn-/gråseiler
Anthus spinoletta/petrosus,ub. vann-/skjærpiplerke
Pernis apivorus/Buteo buteo,ub. vepse-/musvåk
Vanellus,ub. vipe
Buteo,ub. våk
