id,lokalitet,hovedlokalitet,kommune,fylke,lat,lon,count,observers,radius,geometry,public,mine,super
113005,Lillkyrka Prästgård,,Enköping,,59.561604,17.235616,0,0,100,,1,0,1
115227,Travarhagen  Travenberg,,Uppsala,,60.034061,17.662927,0,0,100,,1,0,1
116530,Foleskogen,,Gotland,,57.669193,18.574546,0,0,100,,1,0,1
116672,sveg,,Härjedalen,,62.016212,14.478489,0,0,100,,1,0,1
118887,Valkrörs naturreservat,,Östhammar,,60.055340,18.426441,0,0,100,,1,0,1
1191231,Fjäle,,Gotland,,57.504052,18.689899,0,0,10,,1,0,1
1622764,Flottsund ca 200 m NV bron mittemot bussvändplats,,Uppsala,,59.788457,17.659666,0,0,100,,1,0,1
1636816,"Hammarbystugan, Nackareservatet",,Nacka,,59.284440,18.148241,0,0,100,,1,0,1
1639661,Bäcklösa-parkeringen,,Uppsala,,59.813941,17.641933,0,0,100,,1,0,1
1785282,Rodarve,,Gotland,,57.410005,18.903051,0,0,100,,1,0,1
1789240,Åsen,Åsa gravfält,Strängnäs,,59.388680,17.189991,0,0,50,,1,0,0
2074501,Reveln,Torö,Nynäshamn,,58.809747,17.797216,0,0,416,,1,0,0
2074502,Örudden,Torö,Nynäshamn,,58.800013,17.790739,0,0,276,,1,0,0
2074503,Stenstrand,Torö,Nynäshamn,,58.797123,17.799363,0,0,295,,1,0,0
2074504,Kvarnen,Torö,Nynäshamn,,58.802693,17.830921,0,0,144,,1,0,0
2074505,Krokskär,,Nynäshamn,,58.785808,17.846551,0,0,1106,,1,0,1
2074506,Landsort,,Nynäshamn,,58.755022,17.864015,0,0,4464,,1,0,1
2074507,Gunnarstenarna,,Nynäshamn,,58.774982,18.038683,0,0,1090,,1,0,1
2074508,Södra udden,Landsort,Nynäshamn,,58.737311,17.865407,0,0,76,,1,0,0
2074509,Saltmar,Landsort,Nynäshamn,,58.758800,17.860978,0,0,146,,1,0,0
2074510,Fårhagen,Landsort,Nynäshamn,,58.768015,17.862559,0,0,84,,1,0,0
2074511,Läskär,Torö,Nynäshamn,,58.793581,17.854573,0,0,344,,1,0,0
2074512,Sågsten,Torö,Nynäshamn,,58.836315,17.870384,0,0,290,,1,0,0
2074513,Herrhamra ängar,Torö,Nynäshamn,,58.805364,17.830480,0,0,144,,1,0,0
2074514,Landsorts by,Landsort,Nynäshamn,,58.744960,17.866000,0,0,46,,1,0,0
2074515,Bredmar,Landsort,Nynäshamn,,58.748619,17.867455,0,0,81,,1,0,0
2074516,Norrudden,Landsort,Nynäshamn,,58.773878,17.860933,0,0,107,,1,0,0
2074517,Trevik,Torö,Nynäshamn,,58.815482,17.862029,0,0,397,,1,0,0
2074518,Torö kyrka,Torö,Nynäshamn,,58.839801,17.841557,0,0,1320,,1,0,0
2074519,Svärdsund,Svärdsö,Nynäshamn,,58.882148,17.834271,0,0,414,,1,0,0
2074520,Tottnäs,,Nynäshamn,,58.900184,17.838053,0,0,225,,1,0,1
2074521,Norsbol,,Nynäshamn,,58.920079,17.866629,0,0,1345,,1,0,1
2074522,Järflotta,,Nynäshamn,,58.838314,17.912506,0,0,3095,,1,0,1
2074523,Långsudd,Järflotta,Nynäshamn,,58.817236,17.927238,0,0,685,,1,0,0
2074524,Södra Örvad,Järflotta,Nynäshamn,,58.829202,17.901133,0,0,300,,1,0,0
2074525,Lökvik,Järflotta,Nynäshamn,,58.836454,17.929313,0,0,441,,1,0,0
2074526,Valsvik,Järflotta,Nynäshamn,,58.847028,17.926564,0,0,352,,1,0,0
2074527,Nynäshamn,,Nynäshamn,,58.900100,17.937973,0,0,6807,,1,0,1
2074528,Käringboda,Järflottaland,Nynäshamn,,58.893488,17.900280,0,0,892,,1,0,0
2074529,Lövhagen,,Nynäshamn,,58.877658,17.929816,0,0,225,,1,0,1
2074530,Oljehamnen,Nynäshamn,Nynäshamn,,58.917547,17.969225,0,0,211,,1,0,0
2074531,Oljehamnsdammarna,Nynäshamn,Nynäshamn,,58.927995,17.970680,0,0,181,,1,0,0
2074532,Bedarön,,Nynäshamn,,58.895316,17.961697,0,0,3914,,1,0,1
2074533,Småbåtshamnen,Nynäshamn,Nynäshamn,,58.899223,17.951304,0,0,148,,1,0,0
2074534,Alhagen,,Nynäshamn,,58.933599,17.954457,0,0,1872,,1,0,1
2074535,Nynäs gods N:hamn,,Nynäshamn,,58.915284,17.919971,0,0,3115,,1,0,1
2074536,Djursnäs,,Nynäshamn,,58.922287,17.813502,0,0,2192,,1,0,1
2074537,Stora Vika,,Nynäshamn,,58.941229,17.784163,0,0,4523,,1,0,1
2074538,Fållnäs,,Nynäshamn,,58.958011,17.767598,0,0,2636,,1,0,1
2074539,Koholmen,Lisö,Nynäshamn,,58.964273,17.743577,0,0,206,,1,0,0
2074540,Skärlinge,Lisö,Nynäshamn,,58.908563,17.791592,0,0,292,,1,0,0
2074541,Bredviken,,Nynäshamn,,58.975804,17.970734,0,0,3806,,1,0,1
2074542,Himmelsö,,Nynäshamn,,58.956621,17.972001,0,0,1570,,1,0,1
2074543,Herrö,,Nynäshamn,,58.970794,18.001762,0,0,2176,,1,0,1
2074544,Yxlö,,Nynäshamn,,58.953476,18.018246,0,0,3251,,1,0,1
2074545,Östra Styran,Styran,Nynäshamn,,58.979697,17.865802,0,0,259,,1,0,0
2074546,Styrantornet,Styran,Nynäshamn,,58.974350,17.867760,0,0,300,,1,0,0
