latin,norsk,svensk,status,count
Parus major,kjøttmeis,talgoxe,,1305934
Anas platyrhynchos,stokkand,gräsand,,1271932
Turdus merula,svarttrost,koltrast,,1195929
Cyanistes caeruleus,blåmeis,blåmes,,1143198
Cygnus cygnus,sangsvane,sångsvan,,1134372
Buteo buteo,musvåk,ormvråk,,1132442
Anser anser,grågås,grågås,,1111532
Bucephala clangula,kvinand,knipa,,1084648
Fringilla coelebs,bokfink,bofink,,1079467
Columba palumbus,ringdue,ringduva,,1013233
Dendrocopos major,flaggspett,större hackspett,,960401
Haliaeetus albicilla,havørn,havsörn,,920344
Erithacus rubecula,rødstrupe,rödhake,,867608
Cygnus olor,knoppsvane,knölsvan,,862864
Chloris chloris,grønnfink,grönfink,VU,862504
Motacilla alba,linerle,sädesärla,NT,862361
Vanellus vanellus,vipe,tofsvipa,VU,852182
Grus grus,trane,trana,,842696
Pica pica,skjære,skata,,829022
Larus canus,fiskemåke,fiskmås,,823619
Anas crecca,krikkand,kricka,NT,820133
Sitta europaea,spettmeis,nötväcka,,818749
Branta canadensis,kanadagås,kanadagås,SE,816241
Ardea cinerea,gråhegre,gråhäger,,796130
Sturnus vulgaris,stær,stare,VU,794665
Chroicocephalus ridibundus,hettemåke,skrattmås,NT,784055
Mergus merganser,laksand,storskrake,,781159
Turdus pilaris,gråtrost,björktrast,NT,767471
Coloeus monedula,kaie,kaja,,729527
Corvus corax,ravn,korp,,722164
Aythya fuligula,toppand,vigg,,721806
Emberiza citrinella,gulspurv,gulsparv,NT,720690
Larus argentatus,gråmåke,gråtrut,VU,718198
Phalacrocorax carbo,storskarv,storskarv,,704700
Troglodytes troglodytes,gjerdesmett,gärdsmyg,,692782
Phylloscopus trochilus,løvsanger,lövsångare,,685017
Pyrrhula pyrrhula,dompap,domherre,,671163
Carduelis carduelis,stillits,steglits,,662480
Circus aeruginosus,sivhauk,brun kärrhök,,661911
Spinus spinus,grønnsisik,grönsiska,,651366
Hirundo rustica,låvesvale,ladusvala,NT,645738
Mareca penelope,brunnakke,bläsand,NT,618345
Alauda arvensis,sanglerke,sånglärka,,604481
Accipiter nisus,spurvehauk,sparvhök,,601551
Phylloscopus collybita,gransanger,gransångare,,587487
Falco tinnunculus,tårnfalk,tornfalk,,576962
Podiceps cristatus,toppdykker,skäggdopping,,562494
Passer montanus,pilfink,pilfink,,560387
Emberiza schoeniclus,sivspurv,sävsparv,,559813
Fulica atra,sothøne,sothöna,,545178
Sylvia atricapilla,munk,svarthätta,,516971
Anthus pratensis,heipiplerke,ängspiplärka,,515686
Gallinago gallinago,enkeltbekkasin,enkelbeckasin,NT,513025
Turdus philomelos,måltrost,taltrast,,511256
Branta leucopsis,hvitkinngås,vitkindad gås,,505757
Numenius arquata,storspove,storspov,EN,500422
Haematopus ostralegus,tjeld,strandskata,NT,479111
Tringa totanus,rødstilk,rödbena,,478698
Garrulus glandarius,nøtteskrike,nötskrika,,475426
Picus viridis,grønnspett,gröngöling,,464067
Tringa nebularia,gluttsnipe,gluttsnäppa,,463675
Regulus regulus,fuglekonge,kungsfågel,,457039
Acanthis flammea,gråsisik,gråsiska,,452976
Mareca strepera,snadderand,snatterand,,450937
Milvus milvus,rødglente,röd glada,,427155
Tringa glareola,grønnstilk,grönbena,,426688
Calidris alpina,myrsnipe,kärrsnäppa,,426596
Dryocopus martius,svartspett,spillkråka,,426228
Turdus iliacus,rødvingetrost,rödvingetrast,NT,422514
Charadrius hiaticula,sandlo,större strandpipare,,421144
Larus marinus,svartbak,havstrut,EN,419123
Sterna hirundo,makrellterne,fisktärna,,418330
Apus apus,tårnseiler,tornseglare,VU,412780
Fringilla montifringilla,bjørkefink,bergfink,,412108
Spatula clypeata,skjeand,skedand,,412028
Somateria mollissima,ærfugl,ejder,EN,411126
Gavia arctica,storlom,storlom,,404459
Pandion haliaetus,fiskeørn,fiskgjuse,,386300
Calidris pugnax,brushane,brushane,VU,384999
Coccothraustes coccothraustes,kjernebiter,stenknäck,,383024
Mergus serrator,siland,småskrake,,382883
Poecile palustris,løvmeis,entita,NT,380512
Bombycilla garrulus,sidensvans,sidensvans,,379603
Oenanthe oenanthe,steinskvett,stenskvätta,,378365
Ficedula hypoleuca,svarthvit fluesnapper,svartvit flugsnappare,,375716
Periparus ater,svartmeis,svartmes,,370167
Tringa ochropus,skogsnipe,skogssnäppa,,364910
Actitis hypoleucos,strandsnipe,drillsnäppa,NT,357667
Certhia familiaris,trekryper,trädkrypare,,355509
Buteo lagopus,fjellvåk,fjällvråk,,355198
Passer domesticus,gråspurv,gråsparv,,353192
Motacilla flava,gulerle,gulärla,,352158
Linaria cannabina,tornirisk,hämpling,,349191
Cuculus canorus,gjøk,gök,,347773
Columba oenas,skogdue,skogsduva,,346340
Phoenicurus phoenicurus,rødstjert,rödstjärt,,338582
Turdus viscivorus,duetrost,dubbeltrast,,332040
Anthus trivialis,trepiplerke,trädpiplärka,,326342
Tadorna tadorna,gravand,gravand,NT,326189
Sylvia borin,hagesanger,trädgårdssångare,,321277
Columba livia,bydue,klippduva,,314593
Aegithalos caudatus,stjertmeis,stjärtmes,,314292
Prunella modularis,jernspurv,järnsparv,NT,309258
Poecile montanus,granmeis,talltita,NT,306284
Delichon urbicum,taksvale,hussvala,VU,306185
Saxicola rubetra,buskskvett,buskskvätta,,301221
Mergellus albellus,lappfiskand,salskrake,,291525
Melanitta nigra,svartand,sjöorre,,290226
Dryobates minor,dvergspett,mindre hackspett,NT,288917
Pluvialis apricaria,heilo,ljungpipare,,287144
Circus cyaneus,myrhauk,blå kärrhök,VU,278488
Luscinia luscinia,nattergal,näktergal,,274802
Lanius excubitor,varsler,varfågel,,271852
Phasianus colchicus,fasan,fasan,HI,268243
Anas acuta,stjertand,stjärtand,EN,266408
Loxia curvirostra,grankorsnebb,mindre korsnäbb,,262827
